KICID,BC_J,BC_H,BC_K,BC_GAIA
10001935,1.3980000000000001,1.88,2.004,-0.054000000000000006
10002556,1.4409999999999998,1.9580000000000002,2.094,-0.092
10005422,1.405,1.929,2.0469999999999997,-0.08800000000000001
10005429,1.4480000000000002,1.966,2.105,-0.095
10005966,1.521,2.0780000000000003,2.25,-0.17
10006158,1.469,1.994,2.1430000000000002,-0.111
10006548,1.474,2.002,2.154,-0.11599999999999999
10007150,1.463,1.966,2.117,-0.094
10014635,1.351,1.818,1.9280000000000002,-0.038
10014914,1.4240000000000002,1.911,2.0469999999999997,-0.065
10018239,1.508,2.059,2.225,-0.155
10018973,1.5119999999999998,2.046,2.217,-0.14800000000000002
10019961,1.4569999999999999,1.9769999999999999,2.121,-0.10099999999999999
10023520,1.403,1.876,2.005,-0.049
10024484,1.4180000000000001,1.9069999999999998,2.0380000000000003,-0.064
10024786,1.474,1.9869999999999999,2.142,-0.107
10026767,1.489,2.029,2.185,-0.133
10063028,1.449,1.979,2.116,-0.10400000000000001
10065848,1.422,1.956,2.079,-0.098
10070717,1.456,1.974,2.117,-0.099
10071249,1.423,1.942,2.069,-0.087
10079987,1.482,2.0340000000000003,2.184,-0.136
10080974,1.389,1.86,1.983,-0.044000000000000004
10081951,1.456,1.965,2.1109999999999998,-0.09300000000000001
10082602,1.499,2.0380000000000003,2.201,-0.14
10083313,1.486,2.017,2.174,-0.125
10083480,1.381,1.871,1.9869999999999999,-0.057
10086465,1.4509999999999998,1.9509999999999998,2.096,-0.085
10088768,1.4809999999999999,1.9880000000000002,2.148,-0.10800000000000001
10090400,1.505,2.022,2.1919999999999997,-0.132
10093930,1.506,2.031,2.201,-0.13699999999999998
10095244,1.3330000000000002,1.785,1.892,-0.026000000000000002
10095438,1.436,1.9369999999999998,2.075,-0.079
10118422,1.423,1.8980000000000001,2.036,-0.057
10130148,1.463,1.99,2.135,-0.109
10134740,1.411,1.902,2.031,-0.064
10154247,1.435,1.9369999999999998,2.074,-0.079
10155731,1.433,1.9180000000000001,2.0580000000000003,-0.067
10156307,1.44,1.936,2.077,-0.077
10156576,1.5090000000000001,2.0540000000000003,2.221,-0.152
10158201,1.431,1.9180000000000001,2.057,-0.067
10161092,1.4509999999999998,1.931,2.082,-0.07400000000000001
10186053,1.484,2.003,2.162,-0.11699999999999999
10186608,1.455,1.975,2.1180000000000003,-0.1
