KICID,BC_J,BC_H,BC_K,BC_GAIA
10001935,1.383,1.851,1.973,-0.040999999999999995
10002556,1.4269999999999998,1.93,2.062,-0.077
10005422,1.391,1.9,2.015,-0.07400000000000001
10005429,1.4340000000000002,1.9369999999999998,2.074,-0.079
10005966,1.5090000000000001,2.049,2.217,-0.149
10006158,1.455,1.966,2.1109999999999998,-0.094
10006548,1.4609999999999999,1.974,2.122,-0.099
10007150,1.449,1.9380000000000002,2.085,-0.077
10014635,1.3359999999999999,1.79,1.8969999999999998,-0.027999999999999997
10014914,1.41,1.883,2.016,-0.051
10018239,1.496,2.03,2.1919999999999997,-0.135
10018973,1.499,2.0180000000000002,2.185,-0.128
10019961,1.443,1.949,2.089,-0.085
10023520,1.389,1.848,1.974,-0.036000000000000004
10024484,1.4040000000000001,1.8780000000000001,2.0069999999999997,-0.05
10024786,1.4609999999999999,1.959,2.11,-0.09
10026767,1.476,2.0,2.153,-0.115
10063028,1.435,1.95,2.084,-0.08800000000000001
10065848,1.4080000000000001,1.9269999999999998,2.0469999999999997,-0.084
10070717,1.442,1.946,2.086,-0.083
10071249,1.409,1.9140000000000001,2.037,-0.073
10079987,1.469,2.006,2.1519999999999997,-0.11800000000000001
10080974,1.374,1.8319999999999999,1.952,-0.032
10081951,1.443,1.9369999999999998,2.08,-0.077
10082602,1.486,2.01,2.168,-0.121
10083313,1.473,1.9880000000000002,2.142,-0.107
10083480,1.367,1.8419999999999999,1.956,-0.045
10086465,1.4369999999999998,1.923,2.065,-0.07
10088768,1.4680000000000002,1.96,2.116,-0.09
10090400,1.492,1.993,2.16,-0.11199999999999999
10093930,1.493,2.002,2.169,-0.11800000000000001
10095244,1.318,1.756,1.8619999999999999,-0.016
10095438,1.423,1.909,2.044,-0.064
10118422,1.409,1.871,2.005,-0.043
10130148,1.449,1.962,2.104,-0.092
10134740,1.3969999999999998,1.874,1.999,-0.05
10154247,1.421,1.909,2.043,-0.064
10155731,1.4180000000000001,1.89,2.026,-0.053
10156307,1.426,1.9080000000000001,2.045,-0.062
10156576,1.496,2.025,2.188,-0.132
10158201,1.4169999999999998,1.89,2.025,-0.053
10161092,1.4380000000000002,1.903,2.051,-0.057999999999999996
10186053,1.4709999999999999,1.975,2.13,-0.099
10186608,1.4409999999999998,1.9469999999999998,2.086,-0.084
10188141,1.485,1.982,2.147,-0.105
10188964,1.464,1.955,2.11,-0.08800000000000001
10189920,1.469,2.006,2.1519999999999997,-0.11800000000000001
10196797,1.416,1.923,2.049,-0.076
10200093,1.454,1.962,2.1069999999999998,-0.092
10201944,1.4069999999999998,1.913,2.035,-0.07400000000000001
10202324,1.4240000000000002,1.9280000000000002,2.059,-0.077
10206307,1.4140000000000001,1.912,2.04,-0.07
10206840,1.4169999999999998,1.911,2.041,-0.067
10214045,1.473,2.008,2.157,-0.11900000000000001
10222079,1.4180000000000001,1.895,2.03,-0.055999999999999994
10222567,1.4240000000000002,1.912,2.0469999999999997,-0.066
10223204,1.432,1.926,2.063,-0.073
10224535,1.43,1.919,2.057,-0.068
10226478,1.446,1.9469999999999998,2.089,-0.083
10252281,1.432,1.92,2.059,-0.069
10252692,1.419,1.899,2.033,-0.059000000000000004
10254023,1.4680000000000002,1.9909999999999999,2.14,-0.109
10257750,1.483,1.996,2.156,-0.113
10266723,1.475,2.01,2.1590000000000003,-0.12
10268744,1.4980000000000002,2.026,2.19,-0.133
10269537,1.4480000000000002,1.945,2.09,-0.08199999999999999
10279663,1.41,1.902,2.029,-0.064
10279676,1.3869999999999998,1.854,1.9769999999999999,-0.040999999999999995
10280586,1.4809999999999999,2.006,2.162,-0.11800000000000001
10281513,1.505,2.049,2.214,-0.14800000000000002
10282002,1.495,2.013,2.178,-0.124
10286378,1.425,1.92,2.053,-0.071
10286616,1.4069999999999998,1.915,2.037,-0.076
10288611,1.43,1.9040000000000001,2.045,-0.059000000000000004
10290315,1.4780000000000002,1.9769999999999999,2.137,-0.10099999999999999
10290457,1.474,2.0,2.1519999999999997,-0.114
10290535,1.3980000000000001,1.8840000000000001,2.008,-0.057
10328946,1.45,1.9509999999999998,2.096,-0.085
10331610,1.42,1.9240000000000002,2.053,-0.075
10332186,1.4680000000000002,2.004,2.15,-0.11699999999999999
10332753,1.492,2.017,2.1790000000000003,-0.126
10346117,1.4180000000000001,1.8980000000000001,2.032,-0.057999999999999996
