KICID,BC_J,BC_H,BC_K,BC_GAIA
10000766,1.425,1.933,2.064,-0.08
10001796,1.39,1.87,1.9909999999999999,-0.051
10001935,1.385,1.855,1.9769999999999999,-0.043
10002385,1.3259999999999998,1.7409999999999999,1.8530000000000002,0.003
10002493,1.3,1.705,1.811,0.01
10002556,1.4280000000000002,1.932,2.065,-0.078
10002647,1.341,1.777,1.89,-0.013000000000000001
10003419,1.3969999999999998,1.85,1.9809999999999999,-0.034
10003464,1.254,1.6369999999999998,1.736,0.024
10004991,1.368,1.785,1.9140000000000001,-0.004
10005422,1.311,1.7480000000000002,1.851,-0.015
10005429,1.435,1.939,2.076,-0.08
10005966,1.4269999999999998,1.8769999999999998,2.023,-0.044000000000000004
10006158,1.453,1.96,2.105,-0.091
10006548,1.4580000000000002,1.9669999999999999,2.113,-0.094
10006797,1.339,1.768,1.882,-0.008
10006852,1.318,1.729,1.84,0.006999999999999999
10007150,1.446,1.931,2.0780000000000003,-0.07400000000000001
10007364,1.453,1.952,2.0980000000000003,-0.086
10008121,0.941,1.153,1.229,0.092
10010483,1.347,1.781,1.8969999999999998,-0.012
10010983,1.415,1.879,2.016,-0.048
10011212,1.3430000000000002,1.733,1.859,0.018000000000000002
10014635,1.355,1.825,1.935,-0.040999999999999995
10014914,1.4080000000000001,1.8780000000000001,2.01,-0.049
10015663,1.396,1.8530000000000002,1.983,-0.036000000000000004
10015821,1.311,1.7080000000000002,1.82,0.017
10018239,1.456,1.943,2.094,-0.08
10018967,1.395,1.8459999999999999,1.9780000000000002,-0.032
10018973,1.4709999999999999,1.956,2.115,-0.08800000000000001
10019007,1.246,1.6580000000000001,1.7519999999999998,-0.006999999999999999
10019136,1.271,1.655,1.758,0.025
10019961,1.436,1.9340000000000002,2.072,-0.077
10023520,1.401,1.871,2.0,-0.046
10023547,1.365,1.7990000000000002,1.923,-0.013999999999999999
10023806,1.305,1.706,1.815,0.013000000000000001
10024405,1.436,1.9180000000000001,2.06,-0.067
10024484,1.402,1.876,2.005,-0.049
10024766,1.3019999999999998,1.704,1.8119999999999998,0.013000000000000001
10024786,1.464,1.966,2.1180000000000003,-0.094
10025167,1.337,1.817,1.922,-0.053
10026767,1.479,2.0069999999999997,2.161,-0.11900000000000001
10027098,1.355,1.7630000000000001,1.889,0.005
10027190,1.305,1.696,1.808,0.021
10027385,1.4169999999999998,1.859,2.003,-0.035
10028221,1.354,1.821,1.931,-0.039
10029716,1.301,1.709,1.815,0.008
10029763,1.4240000000000002,1.9,2.0380000000000003,-0.057999999999999996
10029821,1.382,1.824,1.952,-0.023
10029899,1.3030000000000002,1.7469999999999999,1.848,-0.024
10031427,1.405,1.883,2.012,-0.053
10032715,1.401,1.895,2.0180000000000002,-0.063
10033081,1.374,1.867,1.9809999999999999,-0.06
10034505,1.4340000000000002,1.9280000000000002,2.0669999999999997,-0.073
10034623,1.41,1.9409999999999998,2.06,-0.095
10053224,1.45,1.976,2.114,-0.10099999999999999
10054362,1.253,1.632,1.7309999999999999,0.026000000000000002
10054831,1.4240000000000002,1.881,2.024,-0.046
10055700,1.37,1.839,1.955,-0.04
10056474,1.411,1.8769999999999998,2.012,-0.047
10057095,1.3219999999999998,1.7409999999999999,1.851,0.0
10057359,1.348,1.781,1.8969999999999998,-0.011000000000000001
10057435,1.385,1.8319999999999999,1.96,-0.027000000000000003
10058649,1.329,1.7590000000000001,1.869,-0.009000000000000001
10062704,1.365,1.791,1.916,-0.009000000000000001
10062753,1.3459999999999999,1.771,1.889,-0.005
10063028,1.435,1.949,2.083,-0.087
10064560,1.224,1.5919999999999999,1.6869999999999998,0.03
10065293,1.2,1.5590000000000002,1.65,0.034
10065848,1.364,1.839,1.952,-0.045
10065852,1.324,1.745,1.8559999999999999,-0.001
10066568,1.262,1.6780000000000002,1.774,-0.005
10067242,1.339,1.75,1.868,0.005
10067983,1.286,1.726,1.825,-0.024
10068004,1.347,1.839,1.945,-0.062
10068490,1.297,1.696,1.804,0.016
10069277,1.2329999999999999,1.611,1.706,0.024
10069498,1.3430000000000002,1.758,1.8769999999999998,0.002
10070717,1.392,1.847,1.976,-0.034
10071079,1.364,1.801,1.922,-0.016
10071151,1.442,1.896,2.048,-0.054000000000000006
10071249,1.382,1.861,1.98,-0.049
10073828,1.43,1.886,2.032,-0.049
10073905,1.4269999999999998,1.871,2.019,-0.040999999999999995
10075553,1.3519999999999999,1.761,1.885,0.004
10079263,1.3780000000000001,1.8130000000000002,1.9409999999999998,-0.017
10079863,1.325,1.739,1.8519999999999999,0.003
10079987,1.462,1.99,2.134,-0.109
10080974,1.365,1.815,1.9340000000000002,-0.025
10081137,1.3880000000000001,1.837,1.965,-0.028999999999999998
10081476,1.47,1.946,2.1069999999999998,-0.083
10081951,1.442,1.935,2.077,-0.076
10082581,1.386,1.861,1.9809999999999999,-0.047
10082602,1.4809999999999999,1.999,2.157,-0.114
10082680,1.423,1.8940000000000001,2.033,-0.054000000000000006
10082909,1.3019999999999998,1.695,1.804,0.019
10082955,1.126,1.4069999999999998,1.4980000000000002,0.087
10083224,1.44,1.943,2.082,-0.08199999999999999
10083313,1.466,1.973,2.125,-0.098
10083480,1.335,1.7819999999999998,1.891,-0.023
10086465,1.4040000000000001,1.858,1.993,-0.037000000000000005
10086803,1.3230000000000002,1.724,1.839,0.013000000000000001
10087522,1.364,1.7930000000000001,1.9169999999999998,-0.01
10087579,1.264,1.6369999999999998,1.74,0.033
10088768,1.4709999999999999,1.966,2.123,-0.094
10090232,1.35,1.821,1.93,-0.042
10090400,1.454,1.9140000000000001,2.07,-0.064
10090700,1.375,1.84,1.959,-0.038
10090853,1.432,1.8880000000000001,2.035,-0.05
10090916,1.4580000000000002,1.9380000000000002,2.092,-0.077
10091729,1.4080000000000001,1.838,1.9809999999999999,-0.024
10092103,1.375,1.7930000000000001,1.925,-0.006
10092657,1.396,1.8459999999999999,1.9780000000000002,-0.032
10093930,1.442,1.8969999999999998,2.049,-0.054000000000000006
10094183,1.3530000000000002,1.7819999999999998,1.901,-0.01
10094545,1.3769999999999998,1.7990000000000002,1.93,-0.008
10094550,1.341,1.744,1.8659999999999999,0.011000000000000001
10095244,1.3430000000000002,1.8019999999999998,1.911,-0.032
10095438,1.423,1.91,2.045,-0.065
10096113,1.369,1.857,1.969,-0.055999999999999994
10098590,1.5430000000000001,2.101,2.286,-0.192
10098804,1.4280000000000002,1.926,2.061,-0.07400000000000001
10118384,1.335,1.776,1.886,-0.017
10118422,1.4140000000000001,1.881,2.017,-0.048
10118658,1.415,1.889,2.024,-0.053
10118979,1.368,1.81,1.931,-0.02
10119692,1.311,1.72,1.829,0.006999999999999999
10120503,1.3019999999999998,1.7180000000000002,1.8230000000000002,0.002
10120607,1.3330000000000002,1.775,1.8840000000000001,-0.018000000000000002
10120707,1.33,1.735,1.851,0.01
10121190,1.365,1.7919999999999998,1.916,-0.009000000000000001
10123573,1.4140000000000001,1.875,2.012,-0.045
10123707,1.3130000000000002,1.733,1.84,-0.001
10124024,1.225,1.5959999999999999,1.69,0.027999999999999997
10124206,1.291,1.6840000000000002,1.79,0.019
10127712,1.306,1.703,1.8130000000000002,0.016
10127758,1.401,1.8330000000000002,1.9709999999999999,-0.023
10128182,1.32,1.74,1.85,-0.001
10128250,1.192,1.544,1.635,0.038
10128629,1.337,1.76,1.875,-0.003
10130148,1.446,1.955,2.096,-0.08800000000000001
10130674,1.375,1.8219999999999998,1.945,-0.026000000000000002
10131030,1.391,1.8559999999999999,1.983,-0.039
10131438,1.41,1.905,2.032,-0.066
10132592,1.21,1.5730000000000002,1.666,0.033
10132974,1.34,1.736,1.858,0.015
10133475,1.3459999999999999,1.774,1.891,-0.006999999999999999
10134267,1.2690000000000001,1.6569999999999998,1.7590000000000001,0.023
10134484,1.329,1.749,1.8630000000000002,0.0
10134740,1.406,1.892,2.02,-0.059000000000000004
10135035,1.358,1.7830000000000001,1.905,-0.006999999999999999
10135092,1.335,1.771,1.882,-0.013000000000000001
10136100,1.252,1.636,1.734,0.022000000000000002
10136256,1.416,1.9180000000000001,2.045,-0.073
10136291,1.401,1.8969999999999998,2.019,-0.065
10136388,1.403,1.8869999999999998,2.013,-0.057
10136807,1.426,1.8719999999999999,2.0180000000000002,-0.040999999999999995
10141036,1.4169999999999998,1.8630000000000002,2.006,-0.037000000000000005
10145852,1.295,1.6969999999999998,1.8030000000000002,0.012
10146010,1.3630000000000002,1.811,1.929,-0.024
10146110,1.281,1.6569999999999998,1.764,0.032
10146311,1.416,1.848,1.994,-0.028999999999999998
10146348,1.396,1.8519999999999999,1.983,-0.035
10146382,1.345,1.797,1.9080000000000001,-0.026000000000000002
10147030,1.331,1.784,1.891,-0.027000000000000003
10147072,1.3869999999999998,1.8359999999999999,1.965,-0.027999999999999997
10148026,1.311,1.7080000000000002,1.82,0.018000000000000002
10148118,1.3880000000000001,1.845,1.972,-0.034
10148490,1.238,1.588,1.69,0.048
10149906,1.3230000000000002,1.7690000000000001,1.874,-0.023
10149993,1.324,1.7590000000000001,1.867,-0.013000000000000001
10153101,1.3719999999999999,1.7990000000000002,1.926,-0.011000000000000001
10153182,1.315,1.699,1.815,0.026000000000000002
10154247,1.43,1.925,2.061,-0.073
10155286,1.368,1.807,1.93,-0.017
10155731,1.406,1.8659999999999999,2.0,-0.040999999999999995
10156307,1.4340000000000002,1.925,2.064,-0.071
10156573,1.3159999999999998,1.73,1.839,0.004
10156576,1.489,2.009,2.17,-0.121
10156695,1.296,1.7180000000000002,1.82,-0.005
10157553,1.416,1.8359999999999999,1.984,-0.022000000000000002
10157808,1.422,1.909,2.044,-0.064
10158201,1.409,1.874,2.008,-0.045
10158593,1.3659999999999999,1.788,1.9140000000000001,-0.006999999999999999
10160940,1.3230000000000002,1.735,1.848,0.005
10161092,1.43,1.889,2.035,-0.05
10162765,1.385,1.824,1.954,-0.021
10162795,1.4040000000000001,1.889,2.016,-0.057999999999999996
10162869,1.347,1.767,1.886,-0.002
10163776,1.331,1.74,1.857,0.008
10165693,1.3869999999999998,1.828,1.959,-0.023
10186053,1.469,1.97,2.125,-0.096
10186190,1.254,1.6340000000000001,1.733,0.025
10186474,1.338,1.755,1.871,0.001
10186510,1.331,1.7309999999999999,1.849,0.013000000000000001
10186608,1.443,1.95,2.09,-0.086
10188141,1.4780000000000002,1.9669999999999999,2.129,-0.095
10188964,1.459,1.945,2.0980000000000003,-0.08199999999999999
10189920,1.469,2.0069999999999997,2.153,-0.11900000000000001
10190841,1.3219999999999998,1.75,1.859,-0.008
10196797,1.3630000000000002,1.819,1.936,-0.03
10198347,1.291,1.695,1.7990000000000002,0.011000000000000001
10198761,1.3230000000000002,1.7590000000000001,1.8659999999999999,-0.013000000000000001
10200093,1.4140000000000001,1.881,2.016,-0.049
10200729,1.368,1.8030000000000002,1.9269999999999998,-0.015
10200892,1.374,1.841,1.959,-0.039
10201944,1.406,1.913,2.035,-0.07400000000000001
10202324,1.4269999999999998,1.935,2.0669999999999997,-0.08
10202990,1.3430000000000002,1.787,1.8980000000000001,-0.019
10203168,1.406,1.89,2.017,-0.057
10203210,1.291,1.7,1.8030000000000002,0.006
10203751,1.411,1.895,2.025,-0.059000000000000004
10206307,1.3719999999999999,1.83,1.949,-0.033
10206840,1.35,1.7819999999999998,1.899,-0.011000000000000001
10206851,1.3530000000000002,1.777,1.8980000000000001,-0.005
10206860,1.3619999999999999,1.7919999999999998,1.9140000000000001,-0.011000000000000001
10206944,1.3730000000000002,1.8030000000000002,1.93,-0.013000000000000001
10207059,1.274,1.652,1.758,0.031
10207268,1.473,2.029,2.1719999999999997,-0.133
10207623,1.443,1.892,2.046,-0.051
10208149,1.4369999999999998,1.912,2.056,-0.063
10212620,1.4269999999999998,1.8840000000000001,2.028,-0.048
10212876,1.379,1.831,1.955,-0.028999999999999998
10214045,1.465,1.99,2.137,-0.10800000000000001
10214564,1.402,1.88,2.0069999999999997,-0.052000000000000005
10219166,1.2690000000000001,1.649,1.7519999999999998,0.027000000000000003
10219690,1.376,1.8119999999999998,1.939,-0.017
10220795,1.308,1.713,1.8219999999999998,0.011000000000000001
10220865,1.3880000000000001,1.86,1.983,-0.045
10220888,1.285,1.675,1.781,0.021
10221370,1.391,1.817,1.953,-0.016
10221504,1.295,1.696,1.8019999999999998,0.013000000000000001
10221720,1.305,1.714,1.821,0.008
10222079,1.422,1.902,2.0380000000000003,-0.06
10222567,1.42,1.903,2.037,-0.061
10222797,1.28,1.686,1.787,0.006999999999999999
10223204,1.4280000000000002,1.919,2.055,-0.069
10224100,1.294,1.67,1.7819999999999998,0.034
10224535,1.3869999999999998,1.8359999999999999,1.964,-0.027999999999999997
10225014,1.426,1.889,2.031,-0.051
10226478,1.449,1.954,2.097,-0.087
10227554,1.3,1.729,1.831,-0.01
10227713,1.345,1.7919999999999998,1.903,-0.022000000000000002
10227872,1.368,1.797,1.923,-0.011000000000000001
10228836,1.338,1.765,1.88,-0.006
10229796,1.375,1.824,1.9469999999999998,-0.026000000000000002
10231829,1.39,1.9080000000000001,2.023,-0.08199999999999999
