KICID,BC_J,BC_H,BC_K,BC_GAIA
10001935,1.4,1.885,2.01,-0.057
10002556,1.443,1.964,2.1,-0.095
10005422,1.4080000000000001,1.9340000000000002,2.053,-0.09
10005429,1.4509999999999998,1.9709999999999999,2.112,-0.098
10005966,1.5230000000000001,2.084,2.256,-0.174
10006158,1.4709999999999999,2.0,2.149,-0.114
10006548,1.4769999999999999,2.008,2.16,-0.11900000000000001
10007150,1.465,1.972,2.123,-0.09699999999999999
10014635,1.354,1.824,1.9340000000000002,-0.04
10014914,1.4269999999999998,1.9169999999999998,2.053,-0.068
10018239,1.511,2.065,2.231,-0.159
10018973,1.514,2.052,2.224,-0.152
10019961,1.46,1.983,2.127,-0.10400000000000001
10023520,1.406,1.881,2.011,-0.051
10024484,1.421,1.912,2.045,-0.067
10024786,1.4769999999999999,1.993,2.148,-0.11
10026767,1.4909999999999999,2.035,2.1919999999999997,-0.13699999999999998
10063028,1.452,1.984,2.122,-0.107
10065848,1.425,1.9609999999999999,2.085,-0.10099999999999999
10070717,1.4580000000000002,1.98,2.124,-0.102
10071249,1.425,1.9480000000000002,2.075,-0.09
10079987,1.484,2.04,2.191,-0.14
10080974,1.392,1.865,1.989,-0.047
10081951,1.459,1.9709999999999999,2.1180000000000003,-0.09699999999999999
10082602,1.501,2.044,2.207,-0.14400000000000002
10083313,1.489,2.022,2.18,-0.129
10083480,1.3840000000000001,1.876,1.993,-0.06
10086465,1.453,1.956,2.103,-0.08800000000000001
10088768,1.484,1.994,2.154,-0.111
10090400,1.507,2.0269999999999997,2.199,-0.136
10093930,1.5090000000000001,2.037,2.207,-0.141
10095244,1.3359999999999999,1.79,1.8980000000000001,-0.027999999999999997
10095438,1.439,1.943,2.082,-0.08199999999999999
10118422,1.426,1.9040000000000001,2.043,-0.06
10130148,1.465,1.996,2.142,-0.11199999999999999
10134740,1.4140000000000001,1.9080000000000001,2.037,-0.066
10154247,1.4380000000000002,1.943,2.08,-0.08199999999999999
10155731,1.435,1.923,2.064,-0.07
10156307,1.443,1.942,2.083,-0.08
10156576,1.511,2.06,2.227,-0.156
10158201,1.4340000000000002,1.923,2.063,-0.07
10161092,1.454,1.9369999999999998,2.088,-0.077
10186053,1.4869999999999999,2.009,2.168,-0.121
10186608,1.4580000000000002,1.9809999999999999,2.124,-0.10300000000000001
10188141,1.501,2.016,2.185,-0.128
10188964,1.48,1.989,2.148,-0.10800000000000001
10189920,1.484,2.041,2.191,-0.14
10196797,1.433,1.9569999999999999,2.0869999999999997,-0.094
10200093,1.469,1.996,2.145,-0.11199999999999999
10201944,1.423,1.9480000000000002,2.073,-0.091
10202324,1.4409999999999998,1.963,2.097,-0.095
10206307,1.43,1.946,2.077,-0.087
10206840,1.4340000000000002,1.945,2.079,-0.085
10214045,1.4880000000000002,2.042,2.1959999999999997,-0.141
10222079,1.435,1.929,2.068,-0.07400000000000001
10222567,1.44,1.946,2.085,-0.083
10223204,1.4480000000000002,1.96,2.101,-0.091
10224535,1.4469999999999998,1.953,2.095,-0.087
10226478,1.462,1.9809999999999999,2.127,-0.10300000000000001
10252281,1.4480000000000002,1.954,2.097,-0.087
10252692,1.436,1.933,2.0709999999999997,-0.076
10254023,1.484,2.025,2.178,-0.13
10257750,1.4980000000000002,2.031,2.194,-0.135
10266723,1.49,2.044,2.198,-0.14300000000000002
10268744,1.5130000000000001,2.061,2.23,-0.157
10269537,1.464,1.979,2.128,-0.102
10279663,1.4269999999999998,1.936,2.0669999999999997,-0.081
10279676,1.405,1.8869999999999998,2.015,-0.055999999999999994
10280586,1.4969999999999999,2.041,2.201,-0.141
10281513,1.52,2.084,2.254,-0.17300000000000001
10282002,1.51,2.0469999999999997,2.217,-0.14800000000000002
10286378,1.4409999999999998,1.954,2.0909999999999997,-0.08900000000000001
10286616,1.423,1.95,2.075,-0.09300000000000001
10288611,1.4469999999999998,1.9369999999999998,2.083,-0.077
10290315,1.493,2.012,2.176,-0.12300000000000001
10290457,1.489,2.035,2.19,-0.13699999999999998
10290535,1.415,1.9180000000000001,2.045,-0.073
10328946,1.466,1.985,2.134,-0.105
10331610,1.436,1.9580000000000002,2.0909999999999997,-0.09300000000000001
10332186,1.483,2.039,2.188,-0.139
10332753,1.507,2.051,2.218,-0.15
10346117,1.435,1.932,2.07,-0.076
10350302,1.4340000000000002,1.9180000000000001,2.059,-0.067
10350408,1.425,1.9069999999999998,2.044,-0.062
10351764,1.4669999999999999,2.004,2.149,-0.11699999999999999
10351792,1.545,2.093,2.281,-0.188
10352610,1.486,1.996,2.158,-0.113
10353044,1.416,1.92,2.0469999999999997,-0.07400000000000001
10355672,1.516,2.042,2.217,-0.147
10355764,1.452,1.963,2.106,-0.09300000000000001
10357764,1.465,1.973,2.124,-0.098
10358632,1.431,1.9469999999999998,2.0780000000000003,-0.087
10359816,1.423,1.9180000000000001,2.051,-0.07
10359999,1.4280000000000002,1.9180000000000001,2.055,-0.069
10362043,1.3869999999999998,1.8769999999999998,1.996,-0.057999999999999996
10363172,1.456,1.9580000000000002,2.106,-0.08900000000000001
10387935,1.4380000000000002,1.9680000000000002,2.099,-0.1
10394570,1.469,1.9769999999999999,2.13,-0.1
10395327,1.41,1.911,2.036,-0.07
10395400,1.453,1.943,2.092,-0.08
10405445,1.4269999999999998,1.95,2.0780000000000003,-0.092
10415654,1.433,1.9340000000000002,2.07,-0.077
10417559,1.479,2.006,2.16,-0.11800000000000001
10420502,1.4609999999999999,1.983,2.128,-0.10400000000000001
10426854,1.374,1.8559999999999999,1.972,-0.051
10450939,1.406,1.885,2.0140000000000002,-0.054000000000000006
10460324,1.421,1.94,2.066,-0.087
10461347,1.506,2.0669999999999997,2.229,-0.159
10461757,1.3969999999999998,1.909,2.0269999999999997,-0.077
10467570,1.5,2.031,2.1959999999999997,-0.136
10468528,1.469,2.0180000000000002,2.161,-0.126
10482521,1.462,2.006,2.146,-0.11900000000000001
10482713,1.445,1.925,2.072,-0.07
10482750,1.4909999999999999,2.0069999999999997,2.17,-0.12
10483180,1.4069999999999998,1.879,2.011,-0.049
10484140,1.482,2.028,2.1790000000000003,-0.132
10485923,1.365,1.827,1.943,-0.035
10488066,1.433,1.925,2.064,-0.07200000000000001
10488463,1.4140000000000001,1.903,2.033,-0.063
10489017,1.455,1.965,2.11,-0.094
10489073,1.507,2.04,2.209,-0.14300000000000002
10489340,1.412,1.891,2.023,-0.055999999999999994
10489417,1.413,1.8980000000000001,2.029,-0.06
10489877,1.425,1.919,2.053,-0.07
10489909,1.355,1.834,1.943,-0.048
10515966,1.383,1.869,1.9869999999999999,-0.055
10522084,1.4280000000000002,1.9240000000000002,2.059,-0.07200000000000001
10522111,1.4340000000000002,1.9709999999999999,2.099,-0.10400000000000001
10525282,1.3980000000000001,1.892,2.013,-0.062
10525475,1.432,1.963,2.0909999999999997,-0.098
10527889,1.436,1.9240000000000002,2.065,-0.071
10528911,1.506,2.064,2.226,-0.157
10537376,1.443,1.962,2.099,-0.094
10545081,1.46,1.9809999999999999,2.125,-0.10300000000000001
10545152,1.43,1.942,2.074,-0.084
10549650,1.4480000000000002,1.96,2.101,-0.091
10550359,1.444,1.96,2.0980000000000003,-0.092
10552614,1.412,1.895,2.026,-0.057999999999999996
10587122,1.473,1.994,2.146,-0.11
10590683,1.444,1.98,2.113,-0.106
10592249,1.475,1.996,2.149,-0.11199999999999999
10599712,1.45,1.962,2.104,-0.092
10602374,1.475,1.9869999999999999,2.142,-0.106
10602976,1.4140000000000001,1.9140000000000001,2.041,-0.071
10603170,1.445,1.95,2.0909999999999997,-0.085
10604255,1.473,2.021,2.167,-0.128
10604460,1.507,2.059,2.2230000000000003,-0.154
10609343,1.472,1.992,2.144,-0.109
10613106,1.383,1.859,1.979,-0.047
10614000,1.452,1.975,2.116,-0.1
10614707,1.412,1.913,2.039,-0.071
10615356,1.416,1.906,2.037,-0.064
10618005,1.446,1.972,2.108,-0.099
10620267,1.35,1.808,1.919,-0.031
10651578,1.413,1.915,2.042,-0.07200000000000001
10653194,1.443,1.9609999999999999,2.0980000000000003,-0.09300000000000001
10653200,1.439,1.939,2.079,-0.08
10653383,1.422,1.915,2.048,-0.068
