KICID,BC_J,BC_H,BC_K,BC_GAIA
10001935,1.3530000000000002,1.796,1.912,-0.019
10002556,1.399,1.8730000000000002,2.0,-0.049
10005422,1.3619999999999999,1.8419999999999999,1.953,-0.05
10005429,1.406,1.881,2.011,-0.051
10005966,1.483,1.992,2.1519999999999997,-0.11
10006158,1.4280000000000002,1.909,2.048,-0.063
10006548,1.4340000000000002,1.9180000000000001,2.0580000000000003,-0.067
10007150,1.421,1.882,2.023,-0.048
10014635,1.305,1.733,1.837,-0.009000000000000001
10014914,1.381,1.828,1.954,-0.026000000000000002
10018239,1.47,1.973,2.128,-0.098
10018973,1.473,1.9609999999999999,2.121,-0.091
10019961,1.416,1.893,2.0269999999999997,-0.055999999999999994
10023520,1.359,1.7930000000000001,1.913,-0.013000000000000001
10024484,1.374,1.8230000000000002,1.946,-0.026000000000000002
10024786,1.4340000000000002,1.903,2.048,-0.057999999999999996
10026767,1.449,1.944,2.09,-0.081
10063028,1.4080000000000001,1.893,2.021,-0.059000000000000004
10065848,1.38,1.869,1.985,-0.057
10070717,1.4140000000000001,1.889,2.023,-0.054000000000000006
10071249,1.38,1.857,1.975,-0.047
10079987,1.442,1.9480000000000002,2.088,-0.085
10080974,1.344,1.776,1.892,-0.01
10081951,1.415,1.881,2.017,-0.048
10082602,1.46,1.953,2.104,-0.086
10083313,1.446,1.932,2.0780000000000003,-0.07400000000000001
10083480,1.337,1.786,1.8940000000000001,-0.024
10086465,1.409,1.867,2.003,-0.040999999999999995
10088768,1.44,1.9040000000000001,2.053,-0.057999999999999996
10090400,1.465,1.9369999999999998,2.097,-0.077
10093930,1.4669999999999999,1.946,2.105,-0.08199999999999999
10095244,1.287,1.7009999999999998,1.8019999999999998,0.001
10095438,1.3940000000000001,1.854,1.982,-0.038
10118422,1.38,1.8159999999999998,1.944,-0.018000000000000002
10130148,1.422,1.906,2.041,-0.062
10134740,1.368,1.818,1.9380000000000002,-0.026000000000000002
10154247,1.393,1.8530000000000002,1.9809999999999999,-0.038
10155731,1.39,1.835,1.965,-0.027000000000000003
10156307,1.3980000000000001,1.8519999999999999,1.984,-0.035
10156576,1.47,1.9680000000000002,2.124,-0.095
10158201,1.3880000000000001,1.834,1.964,-0.027000000000000003
10161092,1.409,1.849,1.989,-0.03
10186053,1.444,1.919,2.0669999999999997,-0.066
10186608,1.4140000000000001,1.89,2.023,-0.055
10188141,1.4580000000000002,1.926,2.083,-0.071
10188964,1.436,1.9,2.0469999999999997,-0.055999999999999994
10189920,1.442,1.949,2.088,-0.085
10196797,1.3880000000000001,1.8659999999999999,1.9869999999999999,-0.049
