KICID,numax,numax_err,dnu,dnu_err,Yu_Teff,Yu_Teff_err,ra,dec,parallax,parallax_error,GAIAmag,Ag,e_GAIAmag,Kmag,e_Kmag,ccd,b17,Ebv,Aks,Z,Teff,Teff_err,M_Clump,M_Clump_err,R_Clump,R_Clump_err,A_numax,A_numax_err,A_dnu,A_dnu_err,A_fdnu,A_fdnu_err,[Fe/H],Log Age
1160789,24.72,0.62,3.509,0.048,4724,80,290.88660184084176,36.872273928316176,1.3858578233300096,0.026940502984783,9.67884,0.032,0.01,7.497000000000001,0.017,20,0.15848489999999998,0.13946672,0.02551607,0.009430278344261635,4729.6,72.3,0.83,0.09,10.7,0.43,25.209,0.015,3.545,0.011,0.9965,0.0324,-0.27,3.889
1161618,34.32,0.5,4.1080000000000005,0.028,4747,80,291.10902870571323,36.81333074179177,1.2424330052571069,0.02455519998665996,10.169774,0.0753,0.01,7.8870000000000005,0.018000000000000002,20,0.04356407,0.03833638,0.007013815,0.02111176347188177,4742.0,72.1,1.2,0.08,10.92,0.28,33.926,0.01,4.093,0.012,1.001,0.0033,0.08,3.639
1162746,27.38,0.77,3.703,0.111,4989,100,291.35987873256863,36.81981514924967,0.7406640582320656,0.025226944320513398,11.429574,0.2163,0.01,9.183,0.018000000000000002,20,0.049708024,0.04374306,0.008002991999999999,0.0048364256030618185,4798.1,75.6,1.01,0.16,11.07,0.76,27.798,0.015,3.763,0.01,0.9972,0.0281,-0.56,3.786
1435573,25.71,0.64,3.641,0.083,4821,100,292.1102462735409,37.093512713763715,0.7426290135284166,0.025556615772675945,11.387411,0.2775,0.01,8.991,0.018000000000000002,20,0.07123099,0.06268328,0.01146819,0.022106730231105574,4694.6,70.1,0.84,0.11,10.52,0.58,26.022,0.029,3.696,0.019,1.0017,0.0139,0.1,4.034
1726211,30.7,0.63,3.699,0.067,4995,100,292.5043995923288,37.29263373012057,0.7459255585178197,0.02398455636164844,10.918289,0.2112,0.01,8.743,0.017,20,0.118070185,0.10390176,0.0190093,0.0033459890207434627,4943.5,82.9,1.44,0.15,12.47,0.57,30.692,0.016,3.738,0.017,1.0054,0.011,-0.72,3.39
1868101,31.86,0.82,3.818,0.048,4633,80,291.4161376462976,37.36726172646421,0.6811803247935219,0.03105367729774611,11.882102,0.75,0.01,9.062999999999999,0.018000000000000002,20,0.21678796,0.19077341,0.034902863,0.040227635982602095,4608.7,66.1,1.23,0.13,11.55,0.46,31.807,0.015,3.816,0.015,1.0092,0.0113,0.36,3.681
1873510,30.34,0.6,3.825,0.049,4971,80,292.57961609439303,37.34273640098593,0.17734370775778616,0.017515845255599734,13.921712,0.168,0.01,11.657,0.023,20,0.14876127,0.13090992,0.023950564,0.0048364256030618185,4999.6,102.5,1.2,0.11,11.49,0.42,30.15,0.01,3.828,0.011,1.0,0.0235,-0.56,3.506
1995859,46.09,0.67,4.78,0.049,4899,80,286.25023730291264,37.48230256781504,0.8654067079310525,0.03677104537715604,10.857828999999999,0.035,0.01,8.652999999999999,0.018000000000000002,17,0.08304606,0.07308053,0.013370415,0.014273303863841584,4932.1,81.3,1.69,0.12,11.08,0.33,45.892,0.009,4.771,0.009,0.9957,0.0285,-0.09,3.178
2015820,45.49,0.88,4.628,0.015,4831,80,291.7399855495795,37.467689892723754,1.4219353899129954,0.02795569813210733,9.513999,0.318,0.01,7.314,0.017,20,0.12476377,0.10979212,0.020086966,0.02016157759348526,4827.0,76.0,1.81,0.13,11.6,0.3,45.097,0.011,4.614,0.006,0.9968,0.026,0.06,3.179
2016706,38.33,0.53,4.354,0.033,4801,80,291.9444920340308,37.46100346531589,0.9843745337239224,0.02458787910944749,10.593109,0.1357,0.01,8.248,0.018000000000000002,20,0.11967738,0.105316095,0.019268058,0.017969024944450043,4795.9,74.7,1.36,0.09,10.96,0.29,38.487,0.009,4.323,0.011,0.9998,0.0072,0.01,3.412
2141928,33.73,0.75,4.133,0.042,4757,100,286.4225641061414,37.52401387685591,0.9707974559379712,0.028424245108024306,10.702022999999999,0.16,0.01,8.31,0.017,17,0.06367089,0.05603038,0.010251013,0.025381922374298486,4684.2,69.5,1.11,0.1,10.6,0.37,34.301,0.016,4.067,0.019,1.0006,0.0133,0.16,3.617
2156178,29.54,0.65,3.869,0.077,4853,80,290.5193033886837,37.525317544980666,1.6109520687316774,0.02520307165916636,9.565822,0.109,0.01,7.4510000000000005,0.026,20,0.05731684,0.050438817999999996,0.009228011,0.004726335115695664,4870.7,79.3,0.99,0.11,10.62,0.51,28.743,0.024,3.868,0.017,0.9908,0.03,-0.57,3.729
2164327,45.01,0.97,4.671,0.027000000000000003,4854,80,292.3274164525145,37.58876481117709,0.8571984668920353,0.026360067340773136,10.791025,0.0143,0.01,8.552,0.019,20,0.10331758,0.09091947,0.01663413,0.02160351961546542,4839.1,76.4,1.7,0.14,11.28,0.33,45.293,0.019,4.672,0.008,0.9981,0.0256,0.09,3.221
2165615,37.78,0.98,4.1610000000000005,0.052000000000000005,5003,80,292.6046252412678,37.512408551338346,0.24409255299896526,0.01814771192356247,12.981376,0.544,0.01,10.732000000000001,0.019,20,0.13794598,0.12139246,0.022209303,0.004410872573730822,5031.7,95.7,1.68,0.17,12.16,0.48,37.607,0.015,4.15,0.01,0.9988,0.0139,-0.6,3.101
2284330,28.73,0.81,3.643,0.04,4897,100,286.4159861476659,37.630526614844094,0.4036372543495165,0.026881713762102997,12.146526,0.1767,0.01,9.849,0.017,17,0.07562435,0.06654943,0.01217552,0.01034009458804414,4854.5,77.8,1.2,0.13,11.82,0.47,29.0,0.016,3.671,0.009,1.0098,0.0221,-0.23,3.62
2285898,24.82,0.59,3.794,0.053,4774,80,286.9371193155696,37.69593564376582,1.0496399371693623,0.02481148753139629,10.82366,0.36700000000000005,0.01,8.568,0.017,17,0.063232146,0.05564429,0.010180376,0.013948403801758382,4790.9,74.7,0.65,0.07,9.44,0.38,24.894,0.034,3.839,0.01,0.9709,0.0246,-0.1,4.098
2297384,31.07,0.9,3.743,0.053,4534,80,290.18987771912987,37.66412781099251,0.19121896091540144,0.02202103142422927,14.218589999999999,0.6345,0.01,11.537,0.018000000000000002,20,0.10412763,0.091632314,0.016764548,0.045136149945421235,4521.6,74.7,1.2,0.14,11.59,0.51,31.719,0.009,3.806,0.004,1.0077,0.0069,0.41,3.711
2297825,31.4,0.76,3.79,0.07200000000000001,4580,80,290.2701396728889,37.68434259694521,0.17107438461676014,0.019744201194288838,14.254948,0.52,0.01,11.562000000000001,0.018000000000000002,20,0.16051814,0.14125596,0.025843421000000002,0.0461875059376829,4550.1,75.9,1.2,0.14,11.5,0.55,30.974,0.009,3.79,0.014,1.0062,0.0062,0.42,3.75
2303367,34.06,0.94,4.09,0.021,4862,100,291.5367294543972,37.67352122844584,1.304548382668365,0.03358327131753639,10.170314999999999,0.2345,0.01,7.835,0.018000000000000002,20,0.088476725,0.07785952,0.014244753,0.026578135522539816,4630.4,67.2,1.24,0.12,11.07,0.38,33.844,0.009,4.054,0.009,1.003,0.0064,0.18,3.676
2304104,34.04,0.97,3.92,0.06,4629,80,291.6879717313128,37.625466999447404,0.4182390248836347,0.02572163412158229,12.538897,0.5589999999999999,0.01,9.917,0.018000000000000002,20,0.1214715,0.10689492,0.019556912,0.044108725737308216,4599.3,71.1,1.35,0.15,11.69,0.53,34.963,0.028,3.931,0.012,1.0093,0.0223,0.4,3.496
2305930,27.23,0.88,3.959,0.133,4891,100,292.1067892397299,37.68977847321751,1.035396685630284,0.023593094607947115,10.775402,0.38299999999999995,0.01,8.481,0.018000000000000002,20,0.08984160000000001,0.07906061,0.014464497,0.003585291830839694,4858.6,78.6,0.74,0.13,9.52,0.73,28.624,0.029,3.923,0.018,0.9965,0.0107,-0.69,3.834
2306481,36.59,0.51,4.2,0.051,4921,80,292.2189032442147,37.64195902770349,0.3531088595350391,0.025715471172885918,12.61086,0.0867,0.01,10.285,0.018000000000000002,20,0.12482098,0.10984246,0.020096177,0.01243152797378546,4935.2,103.9,1.42,0.11,11.41,0.37,36.163,0.009,4.221,0.009,0.9988,0.0136,-0.15,3.411
2309469,28.3,0.51,3.5410000000000004,0.031,4710,100,292.8699702894373,37.64419990066777,0.6797328548723421,0.02550742287009108,11.587536,0.3413,0.01,9.048,0.017,20,0.12594278,0.110829644,0.020276787,0.029142346094603564,4613.2,66.5,1.2,0.1,12.06,0.37,27.953,0.009,3.533,0.014,1.0029,0.0414,0.22,3.708
2424934,33.7,0.56,3.988,0.034,4963,100,286.84582290353404,37.785237909779376,1.0041237096153979,0.02354526173048857,10.362136999999999,0.12,0.01,8.093,0.021,17,0.0873737,0.07688886,0.014067166499999999,0.011601776947013386,4853.3,77.5,1.38,0.11,11.7,0.35,33.508,0.009,3.936,0.012,0.9936,0.0431,-0.18,3.388
2436417,27.08,0.62,3.454,0.023,4506,80,290.14524429833085,37.774972299621616,0.19439343347819985,0.020846979669964908,14.117395000000002,0.54,0.01,11.397,0.017,20,0.14893845,0.13106583,0.02397909,0.039311943193260035,4487.5,78.8,1.08,0.09,11.81,0.37,27.241,0.009,3.435,0.016,0.9931,0.05,0.35,3.71
2437353,32.05,0.81,3.859,0.032,4553,80,290.2203389468262,37.759202299055,0.1880821811249357,0.0202336381232582,14.155798,0.45299999999999996,0.01,11.513,0.02,20,0.2558835,0.2251775,0.041197244,0.04212350605798225,4537.3,80.5,1.17,0.11,11.27,0.39,31.489,0.01,3.826,0.008,1.0067,0.003,0.38,3.743
2437564,32.83,0.86,3.836,0.042,4522,80,290.23457743547317,37.74262335204406,0.2106279592928717,0.02035701208213058,14.240756,0.5175,0.01,11.556,0.018000000000000002,20,0.18738812,0.16490154,0.030169487000000002,0.044108725737308216,4521.1,81.0,1.3,0.13,11.74,0.45,32.22,0.009,3.853,0.01,1.0075,0.006,0.4,3.711
2437804,26.85,1.02,3.385,0.034,4482,80,290.25359643514395,37.75940339212507,0.17264363771467106,0.021547971622572982,14.124670000000002,0.6615,0.01,11.383,0.018000000000000002,20,0.16704035,0.1469955,0.026893497000000002,0.0461875059376829,4509.7,80.2,1.14,0.15,12.23,0.57,27.166,0.014,3.301,0.039,0.9998,0.05,0.42,3.564
2438051,33.51,1.31,3.658,0.116,4749,100,290.276234795924,37.74989627481005,0.23590549345403616,0.020547199770341727,14.091863,0.515,0.01,11.499,0.017,20,0.13142964,0.11565808,0.021160172,0.04310468855942914,4502.3,79.7,1.79,0.32,13.5,1.04,30.817,0.015,3.668,0.017,0.9982,0.0416,0.39,3.609
2441995,29.53,0.53,4.021,0.111,4756,80,291.1395357049861,37.70122225078872,0.6931115542668528,0.024996164562859826,11.4187975,0.048,0.01,9.162,0.017,20,0.08510119999999999,0.07488906,0.013701294,0.007320226373739091,4831.0,80.5,0.82,0.11,9.74,0.59,29.768,0.019,4.19,0.016,0.9878,0.01,-0.38,3.953
2448225,36.56,1.06,4.01,0.027000000000000003,4799,100,292.4967596181491,37.78419943167051,0.9060732395818356,0.02537725978700528,10.777951,0.34600000000000003,0.01,8.329,0.017,20,0.09399915,0.08271925,0.015133862,0.03122658644028348,4671.7,68.8,1.64,0.17,12.35,0.45,36.089,0.017,3.959,0.012,1.0124,0.0219,0.25,3.389
2448679,39.0,1.14,4.332,0.031,4864,80,292.59812218048893,37.762219192933394,0.4227607912932261,0.028753911088589563,12.081607,0.231,0.01,9.725,0.018000000000000002,20,0.12082738,0.10632809,0.019453207,0.019254157124274328,4840.2,76.7,1.49,0.15,11.34,0.41,38.593,0.011,4.304,0.01,0.9977,0.0192,0.04,3.35
2449327,26.3,0.95,3.517,0.097,4633,80,292.75059865286136,37.70248450055839,0.4218368257905935,0.024244855328610343,12.694108,0.37,0.01,10.138,0.018000000000000002,20,0.1270464,0.111800835,0.020454471999999998,0.02111176347188177,4617.6,75.2,0.96,0.15,11.23,0.76,26.374,0.027,3.532,0.017,0.9979,0.0313,0.08,3.842
2449703,31.99,0.71,3.972,0.025,4837,100,292.8400638297735,37.731028975819996,0.7264837830041667,0.0241564646818746,11.425881,0.266,0.01,9.011000000000001,0.017,20,0.11309029,0.09951945400000001,0.018207537,0.019254157124274328,4644.6,68.0,1.14,0.1,10.99,0.34,32.096,0.012,3.977,0.012,1.0014,0.0074,0.04,3.729
2556640,39.87,0.65,4.435,0.037000000000000005,4834,80,286.5894183157868,37.83424661498873,0.7478671347004664,0.02247127327576927,11.263466000000001,0.121,0.01,8.998,0.018000000000000002,17,0.05865252,0.051614217000000004,0.009443056,0.013320622217512469,4880.0,78.9,1.44,0.11,11.03,0.32,39.793,0.009,4.433,0.006,1.0049,0.0148,-0.12,3.38
